date,code,code_name,listing_date,listing_age_trading_days,listing_status,listing_eligible,trading_status,price_limit_status,security_status
2018-01-09,sh.600908,无锡银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600919,江苏银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600926,杭州银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600928,西安银行,2019-03-01,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601009,南京银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601077,渝农商行,2019-10-29,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601128,常熟银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601166,兴业银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601169,北京银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601187,厦门银行,2020-10-27,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601229,上海银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601288,农业银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601328,交通银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601398,工商银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601528,瑞丰银行,2021-06-25,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601577,长沙银行,2018-09-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601658,邮储银行,2019-12-10,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601665,齐鲁银行,2021-06-18,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.601818,光大银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.601825,沪农商行,2021-08-19,0,not_listed,0,not_listed,not_applicable,not_listed
